PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;MBAS EXPEDIDOS;PRISÕES PREVENTIVAS EXPEDIDAS;PRISÕES TEMPORÁRIAS EXPEDIDAS
BRASIL;ES;2023;Jun;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;0;4;0;0
BRASIL;ES;2023;Jul;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;0;4;0;0
BRASIL;ES;2023;Ago;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;4;1;7;0;0
BRASIL;ES;2023;Set;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;2;0;0
BRASIL;ES;2023;Out;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;3;2;3;0;0
BRASIL;ES;2023;Nov;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;3;1;4;0;0
BRASIL;ES;2023;Dez;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;7;2;9;0;0
BRASIL;ES;2023;Jan;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Fev;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Mar;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Abr;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Mai;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Jun;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Jul;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Ago;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Set;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Out;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Nov;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Dez;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;ES;2023;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Mar;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Abr;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Mai;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Jun;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Jul;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Ago;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Set;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Out;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Nov;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;ES;2023;Dez;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;MG;2023;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0
BRASIL;MG;2023;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0
