PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;RJ;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RN;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;RN;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;RN;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RN;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;RN;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RO;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;1;0;1;0;0
BRASIL;RO;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;RO;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RO;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;RO;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RR;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;RR;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;RR;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RR;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;RR;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RS;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;7;2;3;6;2;0
BRASIL;RS;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;RS;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RS;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;RS;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;SC;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;SC;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;SC;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;SC;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;SC;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;SE;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;SE;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;SE;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;SE;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;SE;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;SP;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;4;1;0;4;0;0
BRASIL;SP;2025;Jan;Fraudes bancárias eletrônicas;2;0;0;4;0;0
BRASIL;SP;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
